ID,Title,Date,Precise Address
101,Shirur Midnight Truck-Car Collision,"Feb 14, 2026","Nalge Vasti, Nhavare-Chaufula National Highway, Pune, Maharashtra, India"
102,Two-Wheeler Slip (Shirley Anthony Case),"Feb 02, 2026","Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India"
103,PMPML Bus vs Female Pedestrian,"Feb 02, 2026","Aundh Road, near University Chowk, Pune, Maharashtra, India"
104,Nagar Road Triple Fatality,"Feb 01, 2026","Near Wagholi Phata, Pune-Ahmednagar Road, Pune, Maharashtra, India"
105,Drunk School Bus Driver Crash,"Feb 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
106,Tanker Overturn (Gas Leak Scare),"Feb 04, 2026","Khandala Ghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
107,IT Professional Bike Skid,"Jan 15, 2026","Phase 3 Flyover, Hinjewadi, Pune, Maharashtra, India"
108,SUV vs Auto-Rickshaw,"Jan 10, 2026","Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
109,MSRTC Bus Hits Median,"Jan 05, 2026","Katraj Tunnel Approach Road, Pune, Maharashtra, India"
110,Pedestrian Run Over (Hit & Run),"Dec 28, 2025","Khadi Machine Chowk, Kondhwa-Saswad Road, Pune, Maharashtra, India"
111,Multi-Car Pileup (Fog Related),"Dec 20, 2025","Urse Toll Plaza, Mumbai-Pune Expressway, Pune, Maharashtra, India"
112,Concrete Mixer Truck Brake Failure,"Dec 15, 2025","Navale Bridge (Self-Correction Point), Pune, Maharashtra, India"
113,Wrong-Side Car Collision,"Dec 08, 2025","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
114,College Student High-Speed Bike Crash,"Nov 30, 2025","Pashan-Sus Link Road, Pune, Maharashtra, India"
115,Dumper Truck vs Bicycle (Child Victim),"Nov 22, 2025","Phursungi IT Park Road, Pune, Maharashtra, India"
116,Luxury Sedan Divider Crash,"Nov 15, 2025","Senapati Bapat Road, near Marriott Hotel, Pune, Maharashtra, India"
117,Tempo Traveller Overtake Accident,"Nov 05, 2025","Hadapsar-Solapur Road, Pune, Maharashtra, India"
118,Bridge Wall Collision (Two-Wheeler),"Oct 25, 2025","Sangamwadi Bridge, Pune, Maharashtra, India"
119,Garbage Compactor vs Pedestrian,"Oct 18, 2025","Karve Road, Nal Stop Chowk, Pune, Maharashtra, India"
120,Tanker vs Private Bus (Head-on),"Oct 10, 2025","Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India"
121,Delivery Partner Road Mishap,"Sep 28, 2025","Viman Nagar, near Phoenix Mall, Pune, Maharashtra, India"
122,Car Plunges into Canal,"Sep 15, 2025","Loni Kalbhor Canal Road, Pune, Maharashtra, India"
123,Pothole-Induced Bike Fall,"Aug 30, 2025","Keshav Nagar, Mundhwa-Manjari Road, Pune, Maharashtra, India"
124,Tree Falling on Moving Car,"Aug 12, 2025","Koregaon Park, North Main Road, Pune, Maharashtra, India"
125,School Van vs Mini-Truck,"Aug 05, 2025","Dhayari Phata, Sinhagad Road, Pune, Maharashtra, India"
126,Indramani River Bridge Collapse Crash,"Jun 16, 2025","Near Chikhali, Pimpri-Chinchwad, Pune, Maharashtra, India"
127,Two-Wheeler Fatal Slip (Oil Spill),"Jun 10, 2025","Magarpatta City North Gate Road, Pune, Maharashtra, India"
128,Hit-and-Run (Senior Citizen),"May 25, 2025","Model Colony, Deep Bungalow Chowk, Pune, Maharashtra, India"
129,Container Jackknife (10-hr Jam),"May 15, 2025","Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
130,Bike vs Dumper (Fatal),"May 02, 2025","Wagholi, near Lexicon International School, Pune, Maharashtra, India"
131,Car vs Electric Pole,"Apr 20, 2025","Pimple Saudagar, Shivar Garden Road, Pune, Maharashtra, India"
132,Auto-Rickshaw Turtle Turn,"Apr 10, 2025","Swargate Bus Stand Exit, Pune, Maharashtra, India"
133,Heavy Vehicle Peak-Hour Violation,"Mar 25, 2025","Baner Phata, Pune, Maharashtra, India"
134,Nighttime Sedan Barrier Crash,"Mar 12, 2025","Bavdhan Flyover, Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
135,Pedestrian Fatality (Bhosari),"Feb 28, 2025","Near Landewadi Chowk, Bhosari, Pune, Maharashtra, India"
136,Car vs Median (Drunk Driving),"Feb 18, 2025","FC Road, near Goodluck Chowk, Pune, Maharashtra, India"
137,Tanker vs Bike (Tail-end),"Feb 05, 2025","Chakan-Talegaon Road, Pune, Maharashtra, India"
138,SUV Overtake Gone Wrong,"Jan 22, 2025","Pune-Solapur Highway, near Yavat, Pune, Maharashtra, India"
139,Motorcycle vs Divider (Speeding),"Jan 10, 2025","Warje Flyover, Pune, Maharashtra, India"
140,Hit-and-Run (Morning Jogger),"Dec 30, 2024","Race Course Road, Camp, Pune, Maharashtra, India"
141,Drunk Driver Rams Food Stall,"Dec 22, 2024","Katraj-Dehu Road Bypass, Near Ambegaon, Pune, Maharashtra, India"
142,Car vs Truck Rear-end Collision,"Dec 12, 2024","Kamshet Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
143,Two-Wheeler Run Over by Bus,"Nov 30, 2024","Vishrantwadi Chowk, Pune, Maharashtra, India"
144,Diwali Firecracker Road Mishap,"Nov 03, 2024","Ravet, near Mukai Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India"
145,Audi Hit-and-Run (Delivery Boy),"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
146,Luxury Bus vs Small Car,"Oct 01, 2024","Pashan-Sus Road, Pune, Maharashtra, India"
147,Motorcycle Head-on Collision,"Sep 15, 2024","Paud Road, Bhugaon, Pune, Maharashtra, India"
148,Truck Brake Failure (Navale Bridge),"Sep 05, 2024","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
149,Bike Skid on Wet Road,"Aug 20, 2024","Law College Road, Pune, Maharashtra, India"
150,Dumper vs Pedestrian,"Aug 10, 2024","Alandi Road, Kalas, Pune, Maharashtra, India"
151,Car vs Divider (World Trade Center),"Jul 25, 2024","Kharadi-Mundhwa Road, Pune, Maharashtra, India"
152,School Van Collision (Minor Injuries),"Jul 15, 2024","Bibwewadi, Pune, Maharashtra, India"
153,Tanker Overturn (Khandala),"Jun 30, 2024","Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
154,Two-Wheeler Pothole Fall,"Jun 20, 2024","Yerawada, near Golf Course Road, Pune, Maharashtra, India"
155,Porsche Speeding Crash (Echo Case),"May 19, 2024","Kalyani Nagar, Pune, Maharashtra, India"
156,Car Plunges into River (Sangamwadi),"May 10, 2024","Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India"
157,Truck vs Car (Shikrapur),"Apr 30, 2024","Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India"
158,Motorcycle vs Divider (Kothrud),"Apr 15, 2024","Karve Road, Kothrud, Pune, Maharashtra, India"
159,Bus vs Rickshaw (Swargate),"Mar 30, 2024","Jedhe Chowk, Swargate, Pune, Maharashtra, India"
160,Hit-and-Run (Satara Road),"Mar 20, 2024","Near Balajinagar, Satara Road, Pune, Maharashtra, India"
